,,,,All Type of Report (All Grades) for 01-Jan-2021 to 07-Aug-2026,,,
Andhra Pradesh,Anakapally,Narsipatnam APMC,Cereals,Paddy(Common),05-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Narsipatnam APMC,Cereals,Paddy(Common),06-08-2026,1.00,Metric Tonnes
Andhra Pradesh,Anakapally,Narsipatnam APMC,Cereals,Paddy(Common),07-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),23-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),24-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),25-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),26-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),27-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),28-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),29-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),31-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),01-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),02-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),03-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),04-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),05-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),06-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),07-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),23-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),24-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),25-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),26-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),27-07-2026,1.00,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),28-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),29-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),30-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),31-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),01-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),02-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),03-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),04-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),05-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),06-08-2026,1.00,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),07-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Ananthapuramu,RAYADURG APMC,Cereals,Paddy(Common),11-02-2024,22.70,Metric Tonnes
Andhra Pradesh,Ananthapuramu,RAYADURG APMC,Cereals,Paddy(Common),22-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Ananthapuramu,RAYADURG APMC,Cereals,Paddy(Common),23-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Ananthapuramu,RAYADURG APMC,Cereals,Paddy(Common),24-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Ananthapuramu,RAYADURG APMC,Cereals,Paddy(Common),25-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Ananthapuramu,RAYADURG APMC,Cereals,Paddy(Common),26-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Ananthapuramu,RAYADURG APMC,Cereals,Paddy(Common),27-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Ananthapuramu,RAYADURG APMC,Cereals,Paddy(Common),28-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Ananthapuramu,RAYADURG APMC,Cereals,Paddy(Common),29-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Ananthapuramu,RAYADURG APMC,Cereals,Paddy(Common),30-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Ananthapuramu,RAYADURG APMC,Cereals,Paddy(Common),31-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Ananthapuramu,RAYADURG APMC,Cereals,Paddy(Common),01-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Ananthapuramu,RAYADURG APMC,Cereals,Paddy(Common),03-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Ananthapuramu,RAYADURG APMC,Cereals,Paddy(Common),04-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Ananthapuramu,RAYADURG APMC,Cereals,Paddy(Common),05-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Ananthapuramu,RAYADURG APMC,Cereals,Paddy(Common),06-08-2026,0.20,Metric Tonnes
Andhra Pradesh,Ananthapuramu,RAYADURG APMC,Cereals,Paddy(Common),07-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Bapatla,Bapatla APMC,Cereals,Paddy(Common),30-05-2026,1.00,Metric Tonnes
Andhra Pradesh,Bapatla,Bapatla APMC,Cereals,Paddy(Common),01-06-2026,0.10,Metric Tonnes
Andhra Pradesh,Bapatla,Bapatla APMC,Cereals,Paddy(Common),02-06-2026,0.10,Metric Tonnes
Andhra Pradesh,Bapatla,Bapatla APMC,Cereals,Paddy(Common),03-06-2026,0.10,Metric Tonnes
Andhra Pradesh,Bapatla,Bapatla APMC,Cereals,Paddy(Common),05-06-2026,0.10,Metric Tonnes
